name,rest_type
Chinese Kitchen,Quick Bites
Vijayalakshmi,Quick Bites
Nammura Donne Biriyani,Quick Bites
Curry Leaves,Casual Dining
Goli Vada Pav No. 1,Quick Bites
Ice Thunder,Quick Bites
South Kitchen,Quick Bites
Upahara Darshini,Quick Bites
Mahalaxmi Tiffin Room,Quick Bites
Starlite Bakery & Fastfood,Quick Bites
Sandwichwallas,Quick Bites
J K Fish Land,Quick Bites
Udupi Grand,Quick Bites
Chinese Square,Quick Bites
Castle Rock,Casual Dining
Swadd Kitchen,Casual Dining
Kamat Bugle Rock,Quick Bites
Basavanagudi Mylari,Quick Bites
RS Shiv Sagar,Casual Dining
New Prashanth Hotel,Casual Dining
Shrinidhi Military Hotel,Quick Bites
Dakshin Kitchen,Quick Bites
Pramukh Family Restaurant,Casual Dining
Chaatimes,Quick Bites
Vybhava,Quick Bites
Shree Venkateshwara North Karnataka Hotel,Quick Bites
Kadamba Classic,Quick Bites
Food Geek,Quick Bites
Rosewood International Hotel - Bar & Restaurant,Casual Dining
Anand Sagar Inn,Casual Dining
Sangam Military Hotel,Quick Bites
Kholi Mane,Quick Bites
Harshi Super Sandwich,Quick Bites
Hotel Pork Paradise,Quick Bites
Belly Squad Food Truck,Food Truck
Old Days North Indian Restaurant,Casual Dining
New Rajadhani Spicy,Casual Dining
Matru Sagar,Quick Bites
Aahar Cafe,Quick Bites
Om Shiva Shakthi Chats Centre,Quick Bites
Juice Junction Food Court,Quick Bites
Burger King,Quick Bites
Inchara Restaurant,Quick Bites
Rolls Corner,Quick Bites
Nimmoora Thindi,Quick Bites
Oasis Food Center,Quick Bites
Shri Vinayaka Ice N Juice,Quick Bites
Happy Chopsticks,Quick Bites
Food Plaza,Quick Bites
Jcubez,Lounge
Gustoes Beer House,Pub
Blue Wings Bar & Restaurant,Bar
Blue Wings Bar & Restaurant,Casual Dining
K27 - The Pub,Bar
Linnet Bar & Restaurant,Bar
Darbar,Bar
Soho Bar & Grill,Pub
Deja Vu Resto Bar,Pub
Fattoush,Casual Dining
Empire Restaurant,Casual Dining
Abhiruchi Hotel,Casual Dining
Tulips,Casual Dining
Barbeque Nation,Casual Dining
